# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Feb  6 16:57:18 2018
#
# CONSTRAINT:  where (koi_pdisposition like '%CANDIDATE%'
# #### This also includes any planets which are 'Confirmed' via Exoplanet Archive, but are False Positives via koi_pdisposition 
# CONSTRAINT:  and koi_depth > 0
# CONSTRAINT:  and koi_max_mult_ev > 7.1
# CONSTRAINT:  )
# CONSTRAINT:  order by kepoi_name asc, koi_max_mult_ev asc
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
### COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_ror_err1:   Planet-Star Radius Ratio Upper Unc.
# COLUMN koi_ror_err2:   Planet-Star Radius Ratio Lower Unc.
# COLUMN koi_dor:        Planet-Star Distance over Star Radius
# COLUMN koi_dor_err1:   Planet-Star Distance over Star Radius Upper Unc.
# COLUMN koi_dor_err2:   Planet-Star Distance over Star Radius Lower Unc.
# COLUMN koi_max_mult_ev: Maximum Multiple Event Statistic
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_num_transits: Number of Transits
#
#rowid	kepid	kepoi_name	koi_pdisposition	koi_period	koi_period_err1	koi_period_err2	koi_time0bk	koi_time0bk_err1	koi_time0bk_err2	koi_impact	koi_impact_err1	koi_impact_err2	koi_duration	koi_duration_err1	koi_duration_err2	koi_depth	koi_depth_err1	koi_depth_err2	koi_ror	koi_ror_err1	koi_ror_err2	koi_dor	koi_dor_err1	koi_dor_err2	koi_max_mult_ev	koi_model_snr	koi_num_transits
4582	5097856	07716.01	483.364050000	4.9750000e-02	-4.9750000e-02	483.0784000	5.930000e-02	-5.930000e-02	0.6140	0.0490	-0.4680	15.61000	2.00000	-2.00000	2.8540e+02	4.090e+01	-4.090e+01	0.016170	3.040000e-04	-2.316000e-03	191.500000	86.500000	-86.500000	7.1056905	8.30	3
9274	11350634	08050.01	278.389350000	1.1170000e-02	-1.1170000e-02	299.5370000	2.130000e-02	-2.130000e-02	0.1200	0.3380	-0.1200	10.43000	0.78000	-0.78000	2.6280e+02	2.680e+01	-2.680e+01	0.014366	1.020000e-03	-9.000000e-04	205.400000	17.600000	-17.600000	7.1075773	11.20	4
8217	6614748	06745.01	383.853620000	1.8020000e-02	-1.8020000e-02	426.5941000	3.460000e-02	-3.460000e-02	0.5927	0.0136	-0.5111	9.76000	1.60000	-1.60000	4.2290e+02	6.580e+01	-6.580e+01	0.019659	1.218000e-03	-2.061000e-03	249.000000	108.000000	-108.000000	7.1075980	7.50	4
6902	8590149	06182.01	19.240582100	7.9350000e-04	-7.9350000e-04	138.7454000	3.000000e-02	-3.000000e-02	0.2580	0.2120	-0.2580	4.99000	0.58000	-0.58000	2.0740e+02	2.680e+01	-2.680e+01	0.012881	1.406000e-03	-6.810000e-04	28.860000	7.900000	-7.900000	7.1090937	9.00	69
6099	5859725	05207.01	18.982830500	3.9260000e-04	-3.9260000e-04	139.2570000	1.550000e-02	-1.550000e-02	0.0210	0.4360	-0.0210	6.30300	0.43200	-0.43200	4.9100e+01	6.100e+00	-6.100e+00	0.006377	4.700000e-04	-4.530000e-04	23.160000	5.900000	-5.900000	7.1091770	9.60	52
9348	10515564	08211.01	5.048745100	1.0050000e-04	-1.0050000e-04	134.6825000	1.760000e-02	-1.760000e-02	0.1330	0.3330	-0.1320	4.00700	0.45400	-0.45400	6.7600e+01	1.040e+01	-1.040e+01	0.007408	6.420000e-04	-6.880000e-04	9.630000	3.700000	-3.700000	7.1101070	7.70	257
2861	9230021	03429.04	44.433726000	1.0180000e-03	-1.0180000e-03	162.9825000	2.140000e-02	-2.140000e-02	0.6240	0.0200	-0.4860	6.11800	0.40700	-0.40700	2.3960e+02	3.090e+01	-3.090e+01	0.014780	1.900000e-04	-1.998000e-03	44.400000	17.700000	-17.700000	7.1118630	8.00	26
9240	5683219	08257.01	9.460941800	2.7190000e-04	-2.7190000e-04	138.7888000	2.390000e-02	-2.390000e-02	0.1610	0.3000	-0.1610	4.88800	0.77100	-0.77100	4.7500e+01	7.200e+00	-7.200e+00	0.006322	4.880000e-04	-6.080000e-04	14.700000	2.300000	-2.300000	7.1139930	7.90	112
6833	12300524	05964.01	32.033211000	5.1890000e-04	-5.1890000e-04	146.8143000	1.350000e-02	-1.350000e-02	0.0070	0.4380	-0.0070	5.28900	0.34300	-0.34300	7.1300e+01	9.000e+00	-9.000e+00	0.007707	5.670000e-04	-5.540000e-04	46.630000	2.900000	-2.900000	7.1182146	9.20	45
8193	9730163	02704.03	8.152758850	6.5890000e-05	-6.5890000e-05	134.1904600	7.920000e-03	-7.920000e-03	0.4610	0.0838	-0.4086	1.74600	0.24000	-0.24000	1.6536e+04	2.312e+03	-2.312e+03	0.118356	9.157000e-03	-1.142200e-02	36.400000	13.400000	-13.400000	7.1269426	9.20	65
